CVEGEO,POBTOT,POBFEM,P_15A49_F,AB,C_MAS,C,C_MENOS,D_MAS,D,E,NSE,NSE_2,VIVIENDAS
2000600010124,"1,987","1,059",575,17,30,52,66,71,217,78,D,D,531
2000600010139,"1,349",718,382,14,34,45,58,51,110,30,D,D,342
2000600010143,"2,429","1,303",639,17,45,50,71,90,239,96,D,D,608
2000600010158,"2,175","1,159",574,31,50,68,88,88,167,34,D,D,526
2000600010162,287,156,91,4,0,4,11,12,29,20,D,D,82
2000600010177,40,19,10,0,0,0,3,0,8,0,D,D,14
2000600010181,219,119,60,0,0,6,6,8,25,12,D,D,58
2000600010196,18,12,8,0,0,0,0,0,8,6,D,D,16
2000700010032,"1,223",689,273,0,0,3,4,30,125,264,E,E,430
2000700010047,"1,017",533,222,0,6,4,15,26,102,149,E,E,302
2000700010051,21,11,7,0,0,0,0,3,4,6,E,E,13
2000800010044,349,193,69,0,0,0,4,7,65,94,E,E,171
2000900010060,"1,886",991,511,0,9,27,41,56,276,145,D,D,556
2000900010075,"1,869",961,499,0,4,16,26,53,256,175,D,D,530
2000900010094,59,28,16,0,0,0,0,0,8,4,D,D,17
2000900010107,7,5,4,0,0,0,0,0,0,0,D,AB,3
2000900010111,19,10,7,0,0,0,0,0,3,0,D,D,5
2001000010146,884,465,221,6,30,40,41,50,87,27,D,D,281
2001000010150,"1,350",708,318,12,44,53,56,61,146,52,D,D,424
2001000010184,35,16,8,0,0,0,0,0,6,0,D,D,10
2001000080080,335,170,89,8,31,17,25,26,33,7,D,D,147
2001000650165,"1,035",513,231,25,54,56,57,75,114,27,D,D,408
2001100010020,307,159,68,0,0,0,6,6,48,36,D,D,98
2001100010035,77,41,18,0,0,0,0,0,6,14,E,E,24
2001200010032,"1,319",693,344,7,18,14,17,34,128,106,D,D,324
2001200010047,946,502,252,0,0,0,5,17,90,100,E,E,215
2001300010044,"1,339",708,318,10,24,54,71,68,137,44,D,D,408
2001400010022,"2,345","1,335",590,43,96,104,116,134,210,82,D,D,785
2001400010037,"1,096",612,300,29,63,59,70,81,91,14,D,D,407
2001400010041,"1,417",768,378,29,58,57,63,81,145,36,D,D,469
2001400010075,"1,852",942,448,8,17,47,67,98,215,105,D,D,557
2001400010107,962,513,255,10,31,33,56,53,97,35,D,D,315
2001400010111,885,478,219,15,29,42,36,44,68,31,D,D,265
2001400010130,967,511,283,7,20,30,45,51,113,45,D,D,311
2001400010164,"2,824","1,488",683,25,69,88,148,145,277,99,D,D,851
2001400010179,"1,321",714,294,26,49,57,64,80,120,50,D,D,446
2001400010183,"1,812",966,507,9,33,51,54,115,192,75,D,D,529
2001400010198,551,263,146,0,3,11,23,28,77,29,D,D,172
2001400010200,"1,861",958,481,18,54,61,79,78,206,78,D,D,574
2001400010215,"1,671",888,465,23,51,64,72,85,178,46,D,D,519
2001400010234,33,17,8,0,0,0,0,0,3,0,D,D,9
2001400010249,"1,835",951,550,17,46,55,70,95,173,77,D,D,533
2001400010253,"1,398",719,395,10,24,38,53,59,159,69,D,D,412
2001400010268,53,27,12,0,0,0,0,0,6,5,D,D,16
2001400010272,85,44,27,0,0,0,9,4,14,4,D,D,34
2001500010049,"1,253",656,299,0,0,3,23,26,99,110,E,E,263
2001500010053,"1,842","1,003",471,0,0,3,14,14,134,230,E,E,395
2001600010046,382,189,95,0,0,5,7,10,36,24,D,D,82
2001600010050,403,204,102,0,0,0,3,0,22,52,E,E,79
2001600010065,925,508,240,0,0,3,6,9,38,118,E,E,175
2001700010024,699,376,155,0,0,0,6,14,100,97,D,D,217
2001800010040,139,64,28,0,3,0,5,4,33,47,E,E,94
2001900010048,580,311,128,0,3,0,8,14,114,87,D,D,229
2002000010034,639,361,182,6,9,22,18,19,48,40,D,D,162
2002000010049,587,326,154,6,7,21,13,22,55,25,D,D,149
2002000010053,202,116,50,0,4,6,4,8,14,22,E,E,59
2002000010068,22,11,8,0,0,0,0,0,0,3,E,E,9
2002000010072,79,44,25,0,0,0,0,0,9,12,E,E,26
2002000010087,99,54,33,3,4,8,6,3,8,3,D,C,35
2002100010046,"3,034","1,632",835,21,54,66,92,124,354,185,D,D,896
2002100010084,"2,001","1,056",562,5,17,31,56,69,228,150,D,D,556
2002100010116,"1,281",679,339,6,20,37,44,43,128,66,D,D,344
2002100010120,93,48,25,0,0,0,0,0,11,5,D,D,21
2002100010135,57,35,21,0,0,0,0,0,6,6,E,D,16
2002200010039,254,137,40,0,0,0,8,13,50,72,E,E,148
2002300010036,"6,149","3,226","1,694",62,101,144,193,234,618,277,D,D,1629
2002300010040,"1,774",895,484,9,16,16,42,51,230,106,D,D,470
2002300010055,"3,686","1,939","1,036",32,57,81,100,149,376,178,D,D,973
2002300010074,74,35,21,0,0,0,4,3,6,0,D,D,19
2002300010089,59,31,18,0,0,0,0,0,8,0,D,D,17
2002300010106,413,215,112,0,5,4,17,14,47,25,D,D,114
2002400010029,807,408,168,0,5,9,13,30,90,119,E,E,267
2002500010026,"2,323","1,165",583,8,23,41,68,78,293,184,D,D,695
2002500010030,"1,846",945,478,12,24,38,52,52,206,163,D,D,547
2002500010064,"2,126","1,075",574,5,6,18,27,48,292,204,D,D,600
2002500010079,640,323,168,0,0,3,3,15,89,69,D,D,179
2002500010083,"1,027",538,242,5,16,21,27,32,137,76,D,D,314
2002500010098,"1,314",672,333,6,12,27,32,48,151,88,D,D,364
2002600010057,"1,222",648,327,13,32,43,41,53,107,46,D,D,335
2002600010061,375,201,115,4,8,13,20,16,46,10,D,D,117
2002600010076,929,503,250,10,17,33,35,56,77,55,D,D,283
2002700010035,"1,373",769,327,0,5,5,13,15,139,335,E,E,512
2002800010028,"1,472",794,366,25,40,44,50,50,121,53,D,D,383
2002800010117,716,381,192,3,8,13,18,29,87,36,D,D,194
2002800010121,876,462,223,0,10,11,21,36,103,58,D,D,239
2002800010140,"3,298","1,757",816,32,44,73,101,115,299,135,D,D,799
2002800010155,97,46,28,0,0,0,0,3,16,0,D,D,27
2002800010174,"2,262","1,187",584,4,18,45,70,76,212,106,D,D,531
2002800010189,66,32,20,0,0,0,0,0,12,11,D,D,26
2003000010064,"1,665",860,418,35,67,73,85,79,140,39,D,D,518
2003000010079,"1,787",937,410,66,100,96,68,65,120,34,D,D,549
2003000010083,"1,687",888,399,36,96,71,82,69,108,42,D,D,504
2003000010098,"1,690",875,424,52,71,78,66,55,101,59,D,D,482
2003000010100,215,101,58,4,11,11,7,7,17,15,D,D,72
2003100010038,"1,531",860,426,7,30,33,61,59,163,112,D,D,465
2003100010042,"1,271",714,355,14,17,33,44,52,104,83,D,D,347
2003100010076,25,19,8,0,0,0,0,0,4,0,D,D,7
2003200010020,223,106,51,0,0,0,4,14,32,40,E,E,92
2003300010028,"1,959","1,042",525,36,69,77,69,80,146,56,D,D,533
2003400010044,31,18,6,0,0,0,0,0,5,4,D,D,11
2003400010059,226,112,43,0,0,0,7,11,41,67,E,E,126
2003400010063,136,79,31,0,0,0,5,6,29,43,E,E,86
2003500010022,546,279,125,16,18,29,25,19,41,6,D,D,154
2003600010068,"1,426",738,337,0,4,10,17,47,200,163,D,D,441
2003700010046,867,451,200,3,16,9,19,28,88,81,D,D,244
2003700010050,30,12,6,0,0,0,0,0,6,4,D,D,10
2003700010065,16,10,3,0,0,0,0,0,0,0,D,AB,3
2003800010043,679,357,175,0,11,11,20,37,117,58,D,D,254
2003800010058,668,352,161,0,3,9,23,28,98,65,D,D,228
2003800010062,19,10,6,0,0,0,0,0,3,0,D,D,4
2003900010110,"2,913","1,539",796,41,93,115,125,94,241,55,D,D,764
2003900010125,"2,930","1,624",802,68,98,101,140,123,221,49,D,D,800
2003900010159,"3,240","1,780",876,93,130,128,123,138,218,64,D,D,894
2003900010163,"2,125","1,100",565,68,80,85,84,89,134,22,D,D,562
2003900010182,"1,482",795,405,20,39,48,43,56,130,36,D,D,372
2003900010197,"2,054","1,089",564,31,67,79,90,97,170,43,D,D,577
2003900010229,"1,957","1,018",514,32,43,63,60,79,148,33,D,D,458
2003900010303,"1,520",826,447,19,37,45,69,58,127,41,D,D,396
2003900010318,"2,137","1,134",574,36,78,81,76,106,157,34,D,D,568
2003900010337,"1,362",740,399,50,49,36,45,56,67,21,D,D,324
2003900010356,"1,589",833,424,22,48,48,64,61,120,35,D,D,398
2003900010360,"1,769",928,507,52,88,94,88,74,82,15,C,C,493
2003900010375,"1,013",543,303,43,38,46,40,43,58,16,D,D,284
2003900010394,"1,242",640,334,5,25,33,35,46,114,61,D,D,319
2003900010407,685,362,190,17,13,29,21,36,76,24,D,D,216
2003900010411,"1,118",579,302,16,39,40,49,44,80,24,D,D,292
2003900010426,"2,671","1,363",743,25,67,87,82,91,251,112,D,D,715
2003900010430,"1,996","1,056",559,17,20,44,55,99,175,73,D,D,483
2003900010445,"1,275",699,316,41,62,69,73,56,73,9,D,C_MENOS,383
2003900010464,299,158,79,14,15,26,16,4,7,0,C,C,82
2003900010479,111,59,29,0,5,4,0,4,7,3,D,D,24
2003900010483,38,19,13,0,0,0,0,0,5,3,D,D,11
2003900010498,606,324,179,12,8,14,21,30,38,8,D,D,131
2003900010500,254,139,70,0,5,4,0,3,39,13,D,D,65
2003900010515,"2,486","1,288",708,36,47,70,94,106,197,47,D,D,597
2003900010534,786,424,224,16,25,26,40,23,64,9,D,D,203
2003900010549,"1,019",530,267,31,35,42,46,39,76,23,D,D,292
2003900010553,"1,180",629,352,6,10,21,40,45,134,53,D,D,309
2003900010568,"1,500",785,424,5,11,24,37,57,202,71,D,D,407
2003900010572,656,345,178,10,24,24,15,28,55,16,D,D,172
2003900010587,"1,233",634,338,21,52,40,46,54,102,12,D,D,327
2003900010591,"1,778",936,515,45,100,92,71,84,82,26,C+,C_MAS,500
2003900010623,27,17,6,0,0,0,0,0,3,0,D,D,9
2003900010638,21,11,5,0,0,0,0,0,3,0,D,D,6
2003900010642,50,24,10,0,0,0,0,3,10,0,D,D,15
2003900010657,136,81,44,0,3,5,5,5,14,0,D,D,32
2003900010661,19,9,5,0,0,0,0,0,4,0,D,D,5
2003900010676,153,75,37,0,0,0,8,3,31,4,D,D,48
2003900010680,155,86,43,0,0,0,5,4,18,7,D,D,37
2003900010695,304,156,91,0,6,6,4,19,30,9,D,D,75
2003900010708,21,11,6,0,0,0,0,4,8,5,D,D,20
2003900010712,90,46,27,0,0,6,5,6,5,0,D+,C,26
2003900010727,81,49,27,0,0,6,9,6,0,0,C-,C_MENOS,24
2003900010731,283,142,81,0,5,9,7,11,39,12,D,D,83
2003900010746,30,15,8,0,0,0,0,0,5,4,D,D,10
2003900010765,20,7,5,0,0,0,0,0,0,0,D,AB,6
2003900010784,305,149,81,0,0,0,0,6,51,26,D,D,88
2003900010816,61,27,16,0,0,0,3,6,6,0,D,D_MAS,15
2003900010820,22,15,6,0,0,0,0,0,5,5,E,D,10
2003900010835,23,12,8,0,0,0,0,0,3,3,E,D,7
2003900010854,11,6,3,0,0,0,0,0,0,0,E,AB,3
2003900010888,35,15,11,0,5,0,0,0,0,0,C+,C_MAS,8
2004000010022,"1,822",962,420,0,0,0,14,17,113,305,E,E,453
2004100010053,"1,000",528,259,6,7,19,24,33,102,89,D,D,280
2004100010068,"1,680",912,438,4,7,6,22,43,179,202,E,E,463
2004100010072,"2,112","1,141",572,11,36,41,64,71,214,113,D,D,550
2004100010087,"2,519","1,366",710,29,48,73,93,95,233,108,D,D,679
2004100010091,"2,281","1,241",627,19,40,61,79,76,214,114,D,D,603
2004100010104,"2,637","1,395",705,23,43,44,58,72,256,214,D,D,710
2004100130123,"1,789",991,409,3,9,14,23,31,111,355,E,E,546
2004200010084,"1,675",921,477,26,51,51,81,84,165,35,D,D,493
2004200010154,654,345,204,14,29,41,23,26,56,13,D,D,202
2004300010096,"4,517","2,431","1,248",31,71,129,146,176,374,137,D,D,1064
2004300010274,"3,183","1,685",981,26,128,129,148,150,311,99,D,D,991
2004300010289,"6,586","3,400","1,878",13,39,87,128,234,668,243,D,D,1412
2004300010325,"2,808","1,497",712,47,100,98,116,132,202,45,D,D,740
2004300010344,"2,339","1,190",629,16,42,73,99,93,207,81,D,D,611
2004300010359,"2,296","1,268",600,62,112,107,90,104,150,38,D,D,663
2004300010363,"1,929","1,064",454,26,69,83,89,84,143,43,D,D,537
2004300010382,"5,889","3,044","1,608",27,59,118,153,230,522,205,D,D,1314
2004300010429,"3,388","1,793",897,50,111,115,165,146,241,90,D,D,918
2004300010452,912,475,265,0,7,12,20,32,118,48,D,D,239
2004300010556,"2,406","1,232",506,17,41,38,52,56,157,47,D,D,408
2004300010611,"2,628","1,384",719,31,67,102,128,124,201,53,D,D,706
2004300010626,"1,903","1,004",548,9,31,45,50,83,189,50,D,D,457
2004300010630,"2,222","1,130",613,11,31,48,62,104,203,64,D,D,523
2004300010683,"2,587","1,340",734,32,86,79,95,105,190,74,D,D,661
2004300010700,"1,939","1,021",504,35,85,82,80,70,132,56,D,D,540
2004300010715,"2,506","1,354",658,28,78,62,119,118,195,67,D,D,667
2004300010734,"2,477","1,274",744,4,17,35,58,93,265,89,D,D,561
2004300010749,464,245,124,22,28,22,27,14,19,0,C+,C_MAS,133
2004300010753,"1,545",801,482,7,27,33,50,68,172,44,D,D,401
2004300010768,"1,701",869,473,6,27,29,58,66,173,63,D,D,422
2004300010772,26,15,10,0,0,0,0,0,0,0,D,AB,N/D
2004300010791,"1,704",857,548,12,24,50,65,78,131,51,D,D,411
2004300010804,399,193,121,0,0,0,8,11,39,19,D,D,79
2004300010819,"1,307",654,435,0,5,11,39,43,134,25,D,D,257
2004300010838,"3,954","2,051","1,046",20,76,103,146,159,362,138,D,D,1004
2004300010842,"1,573",771,466,12,35,58,61,66,112,27,D,D,371
2004300010857,"1,064",558,319,12,34,49,59,61,55,5,D+,D_MAS,275
2004300010895,703,358,161,59,42,50,40,14,10,0,A/B,AB,215
2004300010908,"1,133",590,363,16,18,33,34,54,88,24,D,D,267
2004300010912,856,418,270,0,14,17,28,39,71,20,D,D,191
2004300010927,"1,552",855,458,10,35,43,52,62,122,31,D,D,355
2004300010931,"1,745",894,510,3,24,33,63,59,178,95,D,D,455
2004300010946,"1,482",752,432,4,9,26,36,56,159,57,D,D,347
2004300010950,17,8,6,0,0,0,0,0,0,0,E,AB,10
2004300010984,104,52,27,0,0,3,4,4,13,8,D,D,32
2004300010999,774,407,235,0,6,12,19,35,88,45,D,D,207
2004300011003,253,127,78,0,0,4,5,10,32,3,D,D,56
2004300011018,568,293,155,0,3,5,8,12,74,29,D,D,131
2004300011022,453,220,121,0,7,0,14,18,51,25,D,D,119
2004300011037,21,10,5,0,0,0,0,0,0,0,E,AB,9
2004300011041,74,36,20,0,0,0,0,0,8,18,E,E,27
2004300011056,59,32,19,0,0,0,0,6,7,0,D,D,19
2004300011060,45,19,11,0,0,0,3,0,11,5,D,D,22
2004300011075,58,30,18,0,0,0,0,5,13,7,D,D,26
2004300011111,60,26,14,0,5,0,0,0,5,4,D,C_MAS,18
2004300011126,239,130,67,0,0,0,4,4,41,19,D,D,69
2004300020861,"1,463",722,391,0,0,6,20,24,206,84,D,D,341
2004300020876,"1,956",994,521,0,4,7,26,50,271,150,D,D,508
2004300020965,20,11,5,0,0,0,0,0,3,0,D,D,5
2004300030293,"1,296",689,298,3,28,30,44,53,146,86,D,D,390
2004300030306,"1,051",565,248,0,19,20,36,45,156,64,D,D,342
2004300030490,382,202,113,0,0,9,14,12,58,9,D,D,104
2004300030503,208,110,66,0,5,6,9,8,33,10,D,D,73
2004300030518,270,137,70,0,6,7,8,13,27,10,D,D,71
2004300031107,8,4,4,0,0,0,0,0,0,0,E,AB,3
2004300060664,"2,685","1,398",768,12,27,37,75,105,293,172,D,D,721
2004300060679,"2,706","1,422",790,8,30,50,63,94,294,152,D,D,691
2004400010017,369,193,109,0,0,0,10,15,64,30,D,D,120
2004400010021,28,17,9,0,0,0,3,5,11,9,D,D,32
2004400010106,8,3,3,0,0,0,0,0,8,4,D,D,13
2004400010144,"2,352","1,251",615,6,25,54,77,102,303,154,D,D,721
2004400010159,"1,783",952,444,20,61,47,112,100,204,97,D,D,641
2004400010214,393,203,101,0,0,4,4,9,65,61,D,D,145
2004400010229,54,30,16,0,0,0,0,0,7,4,D,D,15
2004400010233,"1,080",579,314,5,6,15,26,65,150,73,D,D,340
2004400010248,"1,923","1,082",506,28,50,89,84,113,254,71,D,D,689
2004400010252,"2,997","1,602",800,20,59,79,126,140,348,182,D,D,954
2004400010267,"1,142",617,275,9,32,38,66,63,150,57,D,D,415
2004400010271,"1,456",747,364,6,12,27,46,62,199,102,D,D,454
2004400010286,"1,223",660,313,7,25,45,40,65,141,81,D,D,404
2004400010290,"1,073",588,281,6,12,18,38,44,142,97,D,D,357
2004400010303,"1,162",644,298,9,34,40,65,56,122,43,D,D,369
2004400010318,"1,575",876,404,11,16,34,74,69,184,85,D,D,473
2004400010322,146,74,41,0,0,0,0,0,26,32,E,E,60
2004400010341,"1,261",656,340,14,16,29,50,63,151,69,D,D,392
2004400010356,"1,101",570,299,4,10,12,30,45,142,68,D,D,311
2004400010360,821,420,223,4,5,16,37,35,105,47,D,D,249
2004400010375,429,217,114,0,0,7,5,23,57,45,D,D,139
2004400010394,"1,145",613,291,0,12,14,30,56,157,76,D,D,347
2004400010407,"1,667",874,460,4,21,41,67,90,209,83,D,D,515
2004400010411,"1,605",818,418,3,5,11,28,50,219,143,D,D,459
2004400010426,156,86,42,0,0,0,0,6,28,22,D,D,59
2004400010430,194,100,56,0,0,0,0,10,29,14,D,D,56
2004400010445,18,8,4,0,0,0,0,0,4,0,D,D,5
2004500010029,"1,788",958,485,31,46,55,60,89,166,45,D,D,492
2004500010033,918,471,249,9,24,28,35,41,92,30,D,D,259
2004500010048,197,101,52,4,3,10,9,9,13,4,D,D,52
2004500010052,14,6,4,0,0,0,0,0,0,0,A/B,AB,4
2004600010064,88,51,17,0,0,0,3,3,9,20,E,E,36
2004700010023,7,4,0,0,0,0,5,3,14,5,D,D,29
2004800010020,443,241,120,0,0,0,5,10,40,42,E,E,97
2004800010035,234,133,60,0,0,0,0,4,24,33,E,E,61
2004900010028,"1,114",562,286,0,0,10,20,39,132,109,D,D,314
2005000010029,267,144,86,0,0,3,10,8,49,48,D,D,120
2005100010030,"1,851",987,479,0,0,3,11,34,207,138,D,D,395
2005100010045,"2,502","1,340",667,0,3,4,17,44,290,153,D,D,511
2005100010064,59,27,19,0,0,0,0,0,11,7,D,D,18
2005200010131,556,270,136,0,5,7,8,15,78,81,E,E,195
2005200010165,803,441,194,3,8,17,33,29,101,94,D,D,285
2005200010184,594,309,154,0,5,17,17,19,100,49,D,D,208
2005200010199,351,175,81,0,6,14,11,9,62,52,D,D,156
2005300010035,"1,145",599,278,4,16,30,37,37,113,162,E,E,399
2005400010028,305,163,79,0,0,0,11,13,45,51,E,E,123
2005500010044,675,375,179,4,5,11,13,23,89,49,D,D,194
2005500010059,748,391,176,3,0,8,21,32,113,53,D,D,232
2005500010063,550,273,134,0,0,10,5,17,79,55,D,D,168
2005600010022,216,109,54,0,0,0,0,3,17,49,E,E,71
2005600010037,581,306,121,0,0,0,9,15,62,98,E,E,186
2005600010056,20,7,4,0,0,0,0,0,0,9,E,E,13
2005700010068,"2,266","1,220",581,29,65,55,89,117,258,121,D,D,734
2005700010246,827,457,230,17,28,26,35,45,126,24,D,D,301
2005700010250,"2,012","1,077",492,24,72,75,73,102,213,83,D,D,642
2005700010265,615,341,166,8,17,14,29,29,62,23,D,D,182
2005700010284,576,308,146,6,25,18,24,25,58,23,D,D,179
2005700010301,"2,207","1,181",621,6,24,34,56,75,299,178,D,D,672
2005700010439,"1,028",569,247,21,37,46,62,58,113,54,D,D,391
2005700010443,"1,142",610,292,27,42,43,57,58,119,54,D,D,400
2005700010458,"1,827",947,451,27,48,57,63,80,207,102,D,D,584
2005700010477,19,10,6,0,0,0,0,0,0,0,C+,AB,4
2005700010481,112,57,35,0,0,0,0,0,15,14,D,D,33
2005700010496,117,60,32,0,0,0,3,3,8,13,E,E,28
2005700010551,"1,368",725,357,9,26,37,46,46,171,76,D,D,411
2005700010566,"1,196",652,309,4,16,23,31,57,151,89,D,D,371
2005700010585,123,63,31,0,0,4,5,6,17,14,D,D,47
2005700040180,"2,494","1,305",643,0,7,18,31,78,310,236,D,D,681
2005700180509,879,456,231,0,6,9,28,17,109,74,D,D,245
2005700180513,"1,185",625,312,4,8,7,19,19,125,147,E,E,329
2005700180528,"1,152",619,284,6,7,12,27,28,142,102,D,D,324
2005700180532,919,493,244,0,0,9,12,22,118,120,E,E,283
2005800010031,978,489,231,4,8,6,13,21,68,153,E,E,273
2005900010113,"1,047",539,296,10,29,30,42,47,92,35,D,D,285
2005900010132,"4,155","2,272","1,185",51,100,124,181,187,389,144,D,D,1176
2005900010151,"1,283",691,395,6,28,26,52,80,127,64,D,D,383
2005900010185,"3,029","1,659",909,19,57,93,136,153,301,96,D,D,855
2005900010202,"2,520","1,375",714,17,56,77,101,116,252,98,D,D,717
2005900010217,"3,878","2,081","1,114",45,98,118,165,205,356,129,D,D,1116
2005900010236,"2,413","1,298",691,7,30,40,67,95,280,119,D,D,638
2005900010240,"1,537",833,459,9,31,34,51,61,128,65,D,D,379
2005900010255,"2,236","1,175",646,8,21,24,47,76,270,141,D,D,587
2005900010274,350,187,107,0,0,7,12,16,39,18,D,D,95
2005900010289,167,86,46,0,0,0,5,5,21,13,D,D,47
2005900010293,513,277,149,0,6,3,9,9,70,43,D,D,140
2005900010306,146,71,46,0,0,0,0,0,24,13,D,D,40
2005900010310,35,20,10,0,0,0,0,0,6,0,D,D,9
2006000010044,310,164,79,0,0,0,0,7,52,27,D,D,89
2006000010059,709,379,172,0,0,5,5,21,103,49,D,D,183
2006100010041,273,156,65,0,3,0,10,11,48,51,E,E,125
2006100010056,275,154,68,0,0,0,6,8,37,28,D,D,83
2006300010012,"2,367","1,250",659,54,75,89,82,92,172,67,D,D,631
2006300010046,"1,536",796,424,24,37,49,49,68,126,49,D,D,402
2006300010050,241,121,77,0,4,11,13,9,25,6,D,D,69
2006400010077,283,148,69,0,0,0,0,16,43,30,D,D,92
2006400010202,"1,018",527,259,0,5,9,22,30,142,96,D,D,304
2006400010217,93,48,25,0,0,0,0,6,12,7,D,D,25
2006400010221,25,10,6,0,0,0,0,3,3,5,E,E,13
2006500010021,489,275,112,0,0,6,4,18,75,83,E,E,186
2006600010090,792,423,184,5,20,20,23,35,117,110,D,D,330
2006600010137,453,241,113,0,0,0,3,7,67,63,D,D,141
2006600010141,507,263,98,0,3,8,17,18,92,77,D,D,216
2006600010156,449,232,108,0,7,13,12,20,78,51,D,D,182
2006600010160,387,213,92,0,0,7,11,8,69,55,D,D,152
2006600010175,38,22,12,0,0,0,0,0,11,8,D,D,23
2006600010194,35,20,9,0,0,0,0,0,10,0,D,D,14
2006600010207,16,6,4,0,0,0,0,0,3,0,D,D,4
2006700010011,"1,577",836,456,24,26,44,66,65,127,43,D,D,395
2006700010204,"1,492",848,367,78,124,91,63,69,71,10,C+,C_MAS,506
2006700010331,"2,028","1,071",542,86,115,87,82,70,134,25,D,D,599
2006700010505,"2,284","1,265",600,261,214,126,66,45,58,3,A/B,AB,773
2006700010524,"1,393",796,370,138,129,89,54,31,27,0,A/B,AB,470
2006700010539,"2,083","1,148",542,144,154,116,86,70,52,13,C+,C_MAS,635
2006700010543,"1,581",870,402,129,157,92,51,45,36,5,C+,C_MAS,515
2006700010558,"1,995","1,135",527,101,125,114,92,88,71,11,C+,C_MAS,602
2006700010562,"1,828","1,010",473,64,129,124,113,78,53,12,C+,C_MAS,573
2006700010577,"1,991","1,156",526,92,157,150,131,101,65,6,C+,C_MAS,702
2006700010581,"2,164","1,247",607,89,150,133,112,95,73,16,C+,C_MAS,668
2006700010609,"2,014","1,085",559,58,77,81,89,86,106,28,D,D,525
2006700010613,"3,305","1,834",863,112,137,146,162,143,196,63,D,D,959
2006700010628,"2,984","1,551",797,112,127,111,99,110,133,49,D,D,741
2006700010632,"5,291","2,878","1,518",126,175,196,252,219,402,132,D,D,1502
2006700010670,"2,747","1,467",776,33,40,71,103,99,235,91,D,D,672
2006700010702,"1,734",937,500,95,88,57,62,70,85,20,A/B,AB,477
2006700010717,"1,201",640,353,34,50,66,54,44,83,13,D,D,344
2006700010774,"2,127","1,150",568,61,73,55,88,68,127,27,D,D,499
2006700010789,"2,305","1,259",628,111,128,101,107,76,109,33,C+,C_MAS,665
2006700010793,"2,430","1,323",694,110,167,120,143,120,120,30,C+,C_MAS,810
2006700010806,"2,886","1,566",771,88,119,96,101,89,163,61,D,D,717
2006700010810,"2,641","1,401",697,71,115,118,128,111,135,30,D,D,708
2006700010825,"1,203",651,268,111,113,75,43,29,35,4,C+,C_MAS,410
2006700010844,697,373,156,53,64,51,29,19,17,3,C+,C_MAS,236
2006700010859,"1,344",746,354,75,101,84,62,39,41,8,C+,C_MAS,410
2006700010863,"1,843",990,496,74,110,87,71,54,90,24,C+,C_MAS,510
2006700010878,"1,603",870,410,71,96,80,57,44,63,16,C+,C_MAS,427
